t, q1, q2, q3, q4, q5, q6, q_box_x, q_box_y, q_box_phi, v1, v2, v3, v4, v5, v6, v_box_x, v_box_y, v_box_phi, q1_noisy, q2_noisy, q3_noisy, q4_noisy, q5_noisy, q6_noisy, q_box_x_noisy, q_box_y_noisy, q_box_phi_noisy, v1_noisy, v2_noisy, v3_noisy, v4_noisy, v5_noisy, v6_noisy, v_box_x_noisy, v_box_y_noisy, v_box_phi_noisy, q1_filtered, q2_filtered, q3_filtered, q4_filtered, q5_filtered, q6_filtered, q_box_x_filtered, q_box_y_filtered, q_box_phi_filtered, v1_filtered, v2_filtered, v3_filtered, v4_filtered, v5_filtered, v6_filtered, v_box_x_filtered, v_box_y_filtered, v_box_phi_filtered, tau_1, tau_2, tau_3, tau_4, tau_5, tau_6, lambda_1, lambda_2, lambda_3, lambda_4, lambda_5, lambda_6, lambda_7, lambda_8, ref_box_x, ref_box_y, ref_box_phi, ref_box_vx, ref_box_vy, ref_box_vphi
0.000000000000000000e+00, -1.550632357597351074e+00, 1.751782774925231934e+00, -2.011505067348480225e-01, -1.590960264205932617e+00, -1.751782774925231934e+00, 3.342743158340454102e+00, 0.000000000000000000e+00, 2.000000029802322388e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -1.550632357597351074e+00, 1.751782774925231934e+00, -2.011505067348480225e-01, -1.590960264205932617e+00, -1.751782774925231934e+00, 3.342743158340454102e+00, 0.000000000000000000e+00, 2.000000029802322388e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -1.550632357597351074e+00, 1.751782774925231934e+00, -2.011505067348480225e-01, -1.590960264205932617e+00, -1.751782774925231934e+00, 3.342743158340454102e+00, 0.000000000000000000e+00, 2.000000029802322388e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.810199499130249023e+00, 1.374677181243896484e+00, 4.470348358154296875e-07, -2.810200691223144531e+00, -1.374679088592529297e+00, -1.192092895507812500e-06, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.500000059604644775e-01, 0.000000000000000000e+00, 8.726646006107330322e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, nan
1.000000070780515671e-02, -1.550486922264099121e+00, 1.751120448112487793e+00, -2.006336599588394165e-01, -1.591105699539184570e+00, -1.751120448112487793e+00, 3.342226505279541016e+00, -1.798597004665225541e-08, 1.999948769807815552e-01, 2.536528498353618488e-08, 2.909321524202823639e-02, -1.324627995491027832e-01, 1.033696904778480530e-01, -2.909320406615734100e-02, 1.324627399444580078e-01, -1.033697798848152161e-01, 1.192132259575373610e-08, -2.439218405925203115e-06, -4.332254377459321404e-08, -1.550486922264099121e+00, 1.751120448112487793e+00, -2.006336599588394165e-01, -1.591105699539184570e+00, -1.751120448112487793e+00, 3.342226505279541016e+00, -1.798597004665225541e-08, 1.999948769807815552e-01, 2.536528498353618488e-08, 2.909321524202823639e-02, -1.324627995491027832e-01, 1.033696904778480530e-01, -2.909320406615734100e-02, 1.324627399444580078e-01, -1.033697798848152161e-01, 1.192132259575373610e-08, -2.439218405925203115e-06, -4.332254377459321404e-08, -1.550486922264099121e+00, 1.751120448112487793e+00, -2.006336599588394165e-01, -1.591105699539184570e+00, -1.751120448112487793e+00, 3.342226505279541016e+00, -1.798597004665225541e-08, 1.999948769807815552e-01, 2.536528498353618488e-08, 2.909321524202823639e-02, -1.324627995491027832e-01, 1.033696904778480530e-01, -2.909320406615734100e-02, 1.324627399444580078e-01, -1.033697798848152161e-01, 1.192132259575373610e-08, -2.439218405925203115e-06, -4.332254377459321404e-08, 3.017700672149658203e+00, 1.639708876609802246e+00, 5.887624183742445894e-07, -2.967983007431030273e+00, -1.652087688446044922e+00, -1.765620936566847377e-06, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.500000059604644775e-01, 0.000000000000000000e+00, 8.726646006107330322e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, nan
2.000000141561031342e-02, -1.550052642822265625e+00, 1.749198794364929199e+00, -1.991467177867889404e-01, -1.591531157493591309e+00, -1.749209642410278320e+00, 3.340740919113159180e+00, -1.797720194929297577e-08, 1.999948769807815552e-01, 2.533638188140230341e-08, 5.785802379250526428e-02, -2.518846392631530762e-01, 1.940268278121948242e-01, -5.601398646831512451e-02, 2.497388273477554321e-01, -1.937254667282104492e-01, -5.557704296776933006e-11, -2.440065145492553711e-06, 1.949576056148316638e-10, -1.550052642822265625e+00, 1.749198794364929199e+00, -1.991467177867889404e-01, -1.591531157493591309e+00, -1.749209642410278320e+00, 3.340740919113159180e+00, -1.797720194929297577e-08, 1.999948769807815552e-01, 2.533638188140230341e-08, 5.785802379250526428e-02, -2.518846392631530762e-01, 1.940268278121948242e-01, -5.601398646831512451e-02, 2.497388273477554321e-01, -1.937254667282104492e-01, -5.557704296776933006e-11, -2.440065145492553711e-06, 1.949576056148316638e-10, -1.550052642822265625e+00, 1.749198794364929199e+00, -1.991467177867889404e-01, -1.591531157493591309e+00, -1.749209642410278320e+00, 3.340740919113159180e+00, -1.797720194929297577e-08, 1.999948769807815552e-01, 2.533638188140230341e-08, 5.785802379250526428e-02, -2.518846392631530762e-01, 1.940268278121948242e-01, -5.601398646831512451e-02, 2.497388273477554321e-01, -1.937254667282104492e-01, -5.557704296776933006e-11, -2.440065145492553711e-06, 1.949576056148316638e-10, 3.207899093627929688e+00, 1.884946942329406738e+00, 2.540669811423867941e-06, -3.114582300186157227e+00, -1.907143712043762207e+00, 1.862865701696136966e-07, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.500000059604644775e-01, 0.000000000000000000e+00, 8.726646006107330322e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, nan
3.000000119209289551e-02, -1.549332261085510254e+00, 1.746142864227294922e+00, -1.968117058277130127e-01, -1.592216014862060547e+00, -1.746195077896118164e+00, 3.338411808013916016e+00, -1.797880067044843599e-08, 1.999948769807815552e-01, 2.534602039361288917e-08, 8.632152527570724487e-02, -3.593240678310394287e-01, 2.730032503604888916e-01, -8.104504644870758057e-02, 3.532137274742126465e-01, -2.721692323684692383e-01, -1.561045182008058418e-10, -2.440911885059904307e-06, 1.104450086941710651e-09, -1.549332261085510254e+00, 1.746142864227294922e+00, -1.968117058277130127e-01, -1.592216014862060547e+00, -1.746195077896118164e+00, 3.338411808013916016e+00, -1.797880067044843599e-08, 1.999948769807815552e-01, 2.534602039361288917e-08, 8.632152527570724487e-02, -3.593240678310394287e-01, 2.730032503604888916e-01, -8.104504644870758057e-02, 3.532137274742126465e-01, -2.721692323684692383e-01, -1.561045182008058418e-10, -2.440911885059904307e-06, 1.104450086941710651e-09, -1.549332261085510254e+00, 1.746142864227294922e+00, -1.968117058277130127e-01, -1.592216014862060547e+00, -1.746195077896118164e+00, 3.338411808013916016e+00, -1.797880067044843599e-08, 1.999948769807815552e-01, 2.534602039361288917e-08, 8.632152527570724487e-02, -3.593240678310394287e-01, 2.730032503604888916e-01, -8.104504644870758057e-02, 3.532137274742126465e-01, -2.721692323684692383e-01, -1.561045182008058418e-10, -2.440911885059904307e-06, 1.104450086941710651e-09, 3.382019519805908203e+00, 2.111345767974853516e+00, 4.209648068353999406e-06, -3.250661134719848633e+00, -2.140989303588867188e+00, -2.376664951952989213e-06, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.500000059604644775e-01, 0.000000000000000000e+00, 8.726646006107330322e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, nan
4.000000283122062683e-02, -1.548328518867492676e+00, 1.742067694664001465e+00, -1.937404870986938477e-01, -1.593142986297607422e+00, -1.742208480834960938e+00, 3.335352659225463867e+00, -1.798053972379420884e-08, 1.999948769807815552e-01, 2.535625931443519221e-08, 1.144693344831466675e-01, -4.557491242885589600e-01, 3.412813246250152588e-01, -1.044081822037696838e-01, 4.441519975662231445e-01, -3.397448360919952393e-01, -3.162649586663235368e-10, -2.440065145492553711e-06, 1.781111924614720010e-09, -1.548328518867492676e+00, 1.742067694664001465e+00, -1.937404870986938477e-01, -1.593142986297607422e+00, -1.742208480834960938e+00, 3.335352659225463867e+00, -1.798053972379420884e-08, 1.999948769807815552e-01, 2.535625931443519221e-08, 1.144693344831466675e-01, -4.557491242885589600e-01, 3.412813246250152588e-01, -1.044081822037696838e-01, 4.441519975662231445e-01, -3.397448360919952393e-01, -3.162649586663235368e-10, -2.440065145492553711e-06, 1.781111924614720010e-09, -1.548328518867492676e+00, 1.742067694664001465e+00, -1.937404870986938477e-01, -1.593142986297607422e+00, -1.742208480834960938e+00, 3.335352659225463867e+00, -1.798053972379420884e-08, 1.999948769807815552e-01, 2.535625931443519221e-08, 1.144693344831466675e-01, -4.557491242885589600e-01, 3.412813246250152588e-01, -1.044081822037696838e-01, 4.441519975662231445e-01, -3.397448360919952393e-01, -3.162649586663235368e-10, -2.440065145492553711e-06, 1.781111924614720010e-09, 3.541261196136474609e+00, 2.319913387298583984e+00, 3.643455329438438639e-06, -3.376887798309326172e+00, -2.354861736297607422e+00, -3.807125267485389486e-06, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.500000059604644775e-01, 0.000000000000000000e+00, 8.726646006107330322e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, nan
5.000000074505805969e-02, -1.547044992446899414e+00, 1.737078785896301270e+00, -1.900353878736495972e-01, -1.594296216964721680e+00, -1.737369298934936523e+00, 3.331666946411132812e+00, -1.798208515424448706e-08, 1.999948769807815552e-01, 2.536557630605784652e-08, 1.422577649354934692e-01, -5.420451164245605469e-01, 3.997895717620849609e-01, -1.262765228748321533e-01, 5.237050652503967285e-01, -3.974302411079406738e-01, -2.653328390334053211e-10, -2.440065145492553711e-06, 1.526451187672250853e-09, -1.547044992446899414e+00, 1.737078785896301270e+00, -1.900353878736495972e-01, -1.594296216964721680e+00, -1.737369298934936523e+00, 3.331666946411132812e+00, -1.798208515424448706e-08, 1.999948769807815552e-01, 2.536557630605784652e-08, 1.422577649354934692e-01, -5.420451164245605469e-01, 3.997895717620849609e-01, -1.262765228748321533e-01, 5.237050652503967285e-01, -3.974302411079406738e-01, -2.653328390334053211e-10, -2.440065145492553711e-06, 1.526451187672250853e-09, -1.547044992446899414e+00, 1.737078785896301270e+00, -1.900353878736495972e-01, -1.594296216964721680e+00, -1.737369298934936523e+00, 3.331666946411132812e+00, -1.798208515424448706e-08, 1.999948769807815552e-01, 2.536557630605784652e-08, 1.422577649354934692e-01, -5.420451164245605469e-01, 3.997895717620849609e-01, -1.262765228748321533e-01, 5.237050652503967285e-01, -3.974302411079406738e-01, -2.653328390334053211e-10, -2.440065145492553711e-06, 1.526451187672250853e-09, 3.686704397201538086e+00, 2.511612892150878906e+00, 3.688205651997122914e-06, -3.493850469589233398e+00, -2.549976825714111328e+00, -3.628264494182076305e-06, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.500000059604644775e-01, 0.000000000000000000e+00, 8.726646006107330322e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, nan
6.000000238418579102e-02, -1.545485496520996094e+00, 1.731273770332336426e+00, -1.857896745204925537e-01, -1.595661401748657227e+00, -1.731785535812377930e+00, 3.327449560165405273e+00, -1.798376025874404149e-08, 1.999948769807815552e-01, 2.537537469038397830e-08, 1.696229279041290283e-01, -6.190244555473327637e-01, 4.494044780731201172e-01, -1.467844843864440918e-01, 5.929226875305175781e-01, -4.461406171321868896e-01, -2.144006916449114897e-10, -2.440065145492553711e-06, 1.271790450729781696e-09, -1.545485496520996094e+00, 1.731273770332336426e+00, -1.857896745204925537e-01, -1.595661401748657227e+00, -1.731785535812377930e+00, 3.327449560165405273e+00, -1.798376025874404149e-08, 1.999948769807815552e-01, 2.537537469038397830e-08, 1.696229279041290283e-01, -6.190244555473327637e-01, 4.494044780731201172e-01, -1.467844843864440918e-01, 5.929226875305175781e-01, -4.461406171321868896e-01, -2.144006916449114897e-10, -2.440065145492553711e-06, 1.271790450729781696e-09, -1.545485496520996094e+00, 1.731273770332336426e+00, -1.857896745204925537e-01, -1.595661401748657227e+00, -1.731785535812377930e+00, 3.327449560165405273e+00, -1.798376025874404149e-08, 1.999948769807815552e-01, 2.537537469038397830e-08, 1.696229279041290283e-01, -6.190244555473327637e-01, 4.494044780731201172e-01, -1.467844843864440918e-01, 5.929226875305175781e-01, -4.461406171321868896e-01, -2.144006916449114897e-10, -2.440065145492553711e-06, 1.271790450729781696e-09, 3.819324016571044922e+00, 2.687356710433959961e+00, 1.229562712978804484e-06, -3.602082967758178711e+00, -2.727523565292358398e+00, -8.158169293892569840e-06, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.500000059604644775e-01, 0.000000000000000000e+00, 8.726646006107330322e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, nan
7.000000029802322388e-02, -1.543654799461364746e+00, 1.724741697311401367e+00, -1.810882091522216797e-01, -1.597225427627563477e+00, -1.725557446479797363e+00, 3.322784900665283203e+00, -1.798553661558344174e-08, 1.999948769807815552e-01, 2.538588717015954899e-08, 1.964885592460632324e-01, -6.874356269836425781e-01, 4.909503161907196045e-01, -1.660357415676116943e-01, 6.527626514434814453e-01, -4.867309927940368652e-01, -1.634685581342054661e-10, -2.440065145492553711e-06, 1.017129824809615002e-09, -1.543654799461364746e+00, 1.724741697311401367e+00, -1.810882091522216797e-01, -1.597225427627563477e+00, -1.725557446479797363e+00, 3.322784900665283203e+00, -1.798553661558344174e-08, 1.999948769807815552e-01, 2.538588717015954899e-08, 1.964885592460632324e-01, -6.874356269836425781e-01, 4.909503161907196045e-01, -1.660357415676116943e-01, 6.527626514434814453e-01, -4.867309927940368652e-01, -1.634685581342054661e-10, -2.440065145492553711e-06, 1.017129824809615002e-09, -1.543654799461364746e+00, 1.724741697311401367e+00, -1.810882091522216797e-01, -1.597225427627563477e+00, -1.725557446479797363e+00, 3.322784900665283203e+00, -1.798553661558344174e-08, 1.999948769807815552e-01, 2.538588717015954899e-08, 1.964885592460632324e-01, -6.874356269836425781e-01, 4.909503161907196045e-01, -1.660357415676116943e-01, 6.527626514434814453e-01, -4.867309927940368652e-01, -1.634685581342054661e-10, -2.440065145492553711e-06, 1.017129824809615002e-09, 3.940021514892578125e+00, 2.848031520843505859e+00, 1.865341801021713763e-07, -3.702047109603881836e+00, -2.888626098632812500e+00, -1.243976839759852737e-06, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.500000059604644775e-01, 0.000000000000000000e+00, 8.726646006107330322e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, nan
8.000000566244125366e-02, -1.541559100151062012e+00, 1.717565059661865234e+00, -1.760078519582748413e-01, -1.598976135253906250e+00, -1.718773603439331055e+00, 3.317750453948974609e+00, -1.798722415458087198e-08, 1.999948769807815552e-01, 2.539595023165475141e-08, 2.227718383073806763e-01, -7.479698657989501953e-01, 5.252012610435485840e-01, -1.841103881597518921e-01, 7.041002511978149414e-01, -5.199941992759704590e-01, -1.125475407315335019e-10, -2.440065145492553711e-06, 7.624690878671458449e-10, -1.541559100151062012e+00, 1.717565059661865234e+00, -1.760078519582748413e-01, -1.598976135253906250e+00, -1.718773603439331055e+00, 3.317750453948974609e+00, -1.798722415458087198e-08, 1.999948769807815552e-01, 2.539595023165475141e-08, 2.227718383073806763e-01, -7.479698657989501953e-01, 5.252012610435485840e-01, -1.841103881597518921e-01, 7.041002511978149414e-01, -5.199941992759704590e-01, -1.125475407315335019e-10, -2.440065145492553711e-06, 7.624690878671458449e-10, -1.541559100151062012e+00, 1.717565059661865234e+00, -1.760078519582748413e-01, -1.598976135253906250e+00, -1.718773603439331055e+00, 3.317750453948974609e+00, -1.798722415458087198e-08, 1.999948769807815552e-01, 2.539595023165475141e-08, 2.227718383073806763e-01, -7.479698657989501953e-01, 5.252012610435485840e-01, -1.841103881597518921e-01, 7.041002511978149414e-01, -5.199941992759704590e-01, -1.125475407315335019e-10, -2.440065145492553711e-06, 7.624690878671458449e-10, 4.049632072448730469e+00, 2.994495630264282227e+00, 3.151915734633803368e-06, -3.794205665588378906e+00, -3.034399747848510742e+00, 5.252979008218972012e-06, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.500000059604644775e-01, 0.000000000000000000e+00, 8.726646006107330322e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, nan
9.000000357627868652e-02, -1.539203286170959473e+00, 1.709819078445434570e+00, -1.706178486347198486e-01, -1.600901961326599121e+00, -1.711514592170715332e+00, 3.312417268753051758e+00, -1.798904847305493604e-08, 1.999948769807815552e-01, 2.540649113313975249e-08, 2.483881264925003052e-01, -8.012663722038269043e-01, 5.528820753097534180e-01, -2.010702639818191528e-01, 7.477352619171142578e-01, -5.466682910919189453e-01, -6.161834237294883110e-11, -2.440065145492553711e-06, 5.078084064358279193e-10, -1.539203286170959473e+00, 1.709819078445434570e+00, -1.706178486347198486e-01, -1.600901961326599121e+00, -1.711514592170715332e+00, 3.312417268753051758e+00, -1.798904847305493604e-08, 1.999948769807815552e-01, 2.540649113313975249e-08, 2.483881264925003052e-01, -8.012663722038269043e-01, 5.528820753097534180e-01, -2.010702639818191528e-01, 7.477352619171142578e-01, -5.466682910919189453e-01, -6.161834237294883110e-11, -2.440065145492553711e-06, 5.078084064358279193e-10, -1.539203286170959473e+00, 1.709819078445434570e+00, -1.706178486347198486e-01, -1.600901961326599121e+00, -1.711514592170715332e+00, 3.312417268753051758e+00, -1.798904847305493604e-08, 1.999948769807815552e-01, 2.540649113313975249e-08, 2.483881264925003052e-01, -8.012663722038269043e-01, 5.528820753097534180e-01, -2.010702639818191528e-01, 7.477352619171142578e-01, -5.466682910919189453e-01, -6.161834237294883110e-11, -2.440065145492553711e-06, 5.078084064358279193e-10, 4.148915767669677734e+00, 3.127561092376708984e+00, 2.779439455480314791e-06, -3.878985166549682617e+00, -3.165900945663452148e+00, 3.107264774371287785e-06, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.500000059604644775e-01, 0.000000000000000000e+00, 8.726646006107330322e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, nan
