t, r_obox_x, r_obox_y, r_obox_phi
0.000000000000000000e+00, 0.000000000000000000e+00, 2.000000029802322388e-01, 0.000000000000000000e+00
1.000000047497451305e-03, 3.700845172308585285e-14, 2.000000029802322388e-01, 3.058811071186134933e-13
2.000000094994902611e-03, 7.427976242979639210e-07, 1.999988108873367310e-01, -5.942378265899606049e-06
3.000000026077032089e-03, 1.499036670793429948e-06, 1.999976187944412231e-01, -1.191650335385929793e-05
4.000000189989805222e-03, 7.825575494280201383e-07, 1.999964267015457153e-01, -6.033203590050106868e-06
5.000000353902578354e-03, 3.943381088333808293e-08, 1.999952346086502075e-01, -8.697548992131487466e-08
6.000000052154064178e-03, 2.318228276010358968e-08, 1.999952346086502075e-01, -4.450898316576967773e-08
7.000000216066837311e-03, 1.924358450366980833e-08, 1.999952346086502075e-01, -2.992975467464020767e-08
8.000000379979610443e-03, 1.809337568658975215e-08, 1.999952346086502075e-01, -2.567199608449755033e-08
9.000000543892383575e-03, 1.775753588617590140e-08, 1.999952346086502075e-01, -2.442854984963105380e-08
1.000000070780515671e-02, 1.765946322507261357e-08, 1.999952346086502075e-01, -2.406610377647666610e-08
1.100000087171792984e-02, 1.763078394390049652e-08, 1.999952346086502075e-01, -2.396043896624178160e-08
1.200000010430812836e-02, 1.762243861946899415e-08, 1.999952346086502075e-01, -2.392890152691506955e-08
1.300000026822090149e-02, 1.761995704896435200e-08, 1.999952346086502075e-01, -2.391933762169173860e-08
1.400000043213367462e-02, 1.761925894072646770e-08, 1.999952346086502075e-01, -2.391661269030009862e-08
1.500000059604644775e-02, 1.761913992481822788e-08, 1.999952346086502075e-01, -2.391630182785320358e-08
1.600000075995922089e-02, 1.761913637210454908e-08, 1.999952346086502075e-01, -2.391642617283196159e-08
1.700000092387199402e-02, 1.761913637210454908e-08, 1.999952346086502075e-01, -2.391652209610128921e-08
1.800000108778476715e-02, 1.761913104303403088e-08, 1.999952346086502075e-01, -2.391658782130434702e-08
1.900000125169754028e-02, 1.761912038489299448e-08, 1.999952346086502075e-01, -2.391662334844113502e-08
2.000000141561031342e-02, 1.761910262132460048e-08, 1.999952346086502075e-01, -2.391663045386849262e-08
2.100000157952308655e-02, 1.761907775232884887e-08, 1.999952346086502075e-01, -2.391660736122958042e-08
2.200000174343585968e-02, 1.761904755426257907e-08, 1.999952346086502075e-01, -2.391655407052439841e-08
2.300000190734863281e-02, 1.761901202712579106e-08, 1.999952346086502075e-01, -2.391647058175294660e-08
2.400000020861625671e-02, 1.761897117091848486e-08, 1.999952346086502075e-01, -2.391635689491522498e-08
2.500000037252902985e-02, 1.761892320928382105e-08, 1.999952346086502075e-01, -2.391621478636807296e-08
2.600000053644180298e-02, 1.761886814222179964e-08, 1.999952346086502075e-01, -2.391604247975465114e-08
2.700000070035457611e-02, 1.761880774608926004e-08, 1.999952346086502075e-01, -2.391583997507495951e-08
2.800000086426734924e-02, 1.761874202088620223e-08, 1.999952346086502075e-01, -2.391560904868583748e-08
2.900000102818012238e-02, 1.761867096661262622e-08, 1.999952346086502075e-01, -2.391534792423044564e-08
3.000000119209289551e-02, 1.761859458326853201e-08, 1.999952346086502075e-01, -2.391505660170878400e-08
3.100000135600566864e-02, 1.761851109449708019e-08, 1.999952346086502075e-01, -2.391473508112085256e-08
3.200000151991844177e-02, 1.761842050029827078e-08, 1.999952346086502075e-01, -2.391438336246665131e-08
3.299999982118606567e-02, 1.761832457702894317e-08, 1.999952346086502075e-01, -2.391400322210301965e-08
3.400000184774398804e-02, 1.761822332468909735e-08, 1.999952346086502075e-01, -2.391359288367311819e-08
3.500000014901161194e-02, 1.761811674327873334e-08, 1.999952346086502075e-01, -2.391315234717694693e-08
3.600000217556953430e-02, 1.761800483279785112e-08, 1.999952346086502075e-01, -2.391268338897134527e-08
3.700000047683715820e-02, 1.761788581688961131e-08, 1.999952346086502075e-01, -2.391218423269947380e-08
3.800000250339508057e-02, 1.761775969555401389e-08, 1.999952346086502075e-01, -2.391165487836133252e-08
3.900000080466270447e-02, 1.761771173391935008e-08, 1.999952346086502075e-01, -2.391051445727043756e-08
4.000000283122062683e-02, 1.761763712693209527e-08, 1.999952346086502075e-01, -2.390980924360519566e-08
4.100000113248825073e-02, 1.761756607265851926e-08, 1.999952346086502075e-01, -2.390953923736560682e-08
4.200000315904617310e-02, 1.761748791295758565e-08, 1.999952346086502075e-01, -2.390924080941658758e-08
4.300000146031379700e-02, 1.761740442418613384e-08, 1.999952346086502075e-01, -2.390891218340129853e-08
4.400000348687171936e-02, 1.761731382998732443e-08, 1.999952346086502075e-01, -2.390855335931973968e-08
4.500000178813934326e-02, 1.761721613036115741e-08, 1.999952346086502075e-01, -2.390816611352875043e-08
4.600000381469726562e-02, 1.761711310166447220e-08, 1.999952346086502075e-01, -2.390774866967149137e-08
4.700000211596488953e-02, 1.761700474389726878e-08, 1.999952346086502075e-01, -2.390730102774796251e-08
4.800000041723251343e-02, 1.761689105705954717e-08, 1.999952346086502075e-01, -2.390682318775816384e-08
4.900000244379043579e-02, 1.761677204115130735e-08, 1.999952346086502075e-01, -2.390631514970209537e-08
5.000000074505805969e-02, 1.761672940858716174e-08, 1.999952346086502075e-01, -2.390519604489327321e-08
5.100000277161598206e-02, 1.761665835431358573e-08, 1.999952346086502075e-01, -2.390451214751010411e-08
5.200000107288360596e-02, 1.761659085275368852e-08, 1.999952346086502075e-01, -2.390426345755258808e-08
5.300000309944152832e-02, 1.761651624576643371e-08, 1.999952346086502075e-01, -2.390398634588564164e-08
5.400000140070915222e-02, 1.761643630970866070e-08, 1.999952346086502075e-01, -2.390367903615242540e-08
5.500000342726707458e-02, 1.761635104458036949e-08, 1.999952346086502075e-01, -2.390334152835293935e-08
5.600000172853469849e-02, 1.761625867402472068e-08, 1.999952346086502075e-01, -2.390297559884402290e-08
5.700000375509262085e-02, 1.761615919804171426e-08, 1.999952346086502075e-01, -2.390257947126883664e-08
5.800000205636024475e-02, 1.761605439298818965e-08, 1.999952346086502075e-01, -2.390215314562738058e-08
5.900000408291816711e-02, 1.761594425886414683e-08, 1.999952346086502075e-01, -2.390169662191965472e-08
6.000000238418579102e-02, 1.761582879566958582e-08, 1.999952346086502075e-01, -2.390120990014565905e-08
6.100000441074371338e-02, 1.761578971581911901e-08, 1.999952346086502075e-01, -2.390011211161890969e-08
6.200000271201133728e-02, 1.761572399061606120e-08, 1.999952346086502075e-01, -2.389945130687465280e-08
6.300000101327896118e-02, 1.761566181812668219e-08, 1.999952346086502075e-01, -2.389922570955604897e-08
6.400000303983688354e-02, 1.761559076385310618e-08, 1.999952346086502075e-01, -2.389896991417117533e-08
6.500000506639480591e-02, 1.761551438050901197e-08, 1.999952346086502075e-01, -2.389868569707687129e-08
6.599999964237213135e-02, 1.761543266809439956e-08, 1.999952346086502075e-01, -2.389837128191629745e-08
6.700000166893005371e-02, 1.761534562660926895e-08, 1.999952346086502075e-01, -2.389802666868945380e-08
6.800000369548797607e-02, 1.761525147969678073e-08, 1.999952346086502075e-01, -2.389765185739634035e-08
6.900000572204589844e-02, 1.761515022735693492e-08, 1.999952346086502075e-01, -2.389724684803695709e-08
7.000000029802322388e-02, 1.761504364594657090e-08, 1.999952346086502075e-01, -2.389681341696814343e-08
7.100000232458114624e-02, 1.761493173546568869e-08, 1.999952346086502075e-01, -2.389634978783305996e-08
7.200000435113906860e-02, 1.761481449591428827e-08, 1.999952346086502075e-01, -2.389585596063170669e-08
7.300000637769699097e-02, 1.761469192729236966e-08, 1.999952346086502075e-01, -2.389533371172092302e-08
7.400000095367431641e-02, 1.761464574201454525e-08, 1.999952346086502075e-01, -2.389419861970054626e-08
7.500000298023223877e-02, 1.761457113502729044e-08, 1.999952346086502075e-01, -2.389349873510582256e-08
7.600000500679016113e-02, 1.761450008075371443e-08, 1.999952346086502075e-01, -2.389323583429359132e-08
7.700000703334808350e-02, 1.761442192105278082e-08, 1.999952346086502075e-01, -2.389294273541509028e-08
7.800000160932540894e-02, 1.761433843228132901e-08, 1.999952346086502075e-01, -2.389261943847031944e-08
7.900000363588333130e-02, 1.761424961443935899e-08, 1.999952346086502075e-01, -2.389226594345927879e-08
8.000000566244125366e-02, 1.761415546752687078e-08, 1.999952346086502075e-01, -2.389188225038196833e-08
8.100000023841857910e-02, 1.761405421518702497e-08, 1.999952346086502075e-01, -2.389147013559522748e-08
8.200000226497650146e-02, 1.761394585741982155e-08, 1.999952346086502075e-01, -2.389102782274221681e-08
8.300000429153442383e-02, 1.761383217058209993e-08, 1.999952346086502075e-01, -2.389055531182293635e-08
8.400000631809234619e-02, 1.761371315467386012e-08, 1.999952346086502075e-01, -2.389005437919422548e-08
8.500000089406967163e-02, 1.761367052210971451e-08, 1.999952346086502075e-01, -2.388894237981276092e-08
8.600000292062759399e-02, 1.761360124419297790e-08, 1.999952346086502075e-01, -2.388826558785694942e-08
8.700000494718551636e-02, 1.761353551898992009e-08, 1.999952346086502075e-01, -2.388802400332679099e-08
8.800000697374343872e-02, 1.761346091200266528e-08, 1.999952346086502075e-01, -2.388775222073036275e-08
8.900000154972076416e-02, 1.761338097594489227e-08, 1.999952346086502075e-01, -2.388745024006766471e-08
9.000000357627868652e-02, 1.761329571081660106e-08, 1.999952346086502075e-01, -2.388711983769553626e-08
9.100000560283660889e-02, 1.761320511661779165e-08, 1.999952346086502075e-01, -2.388675923725713801e-08
9.200000762939453125e-02, 1.761310919334846403e-08, 1.999952346086502075e-01, -2.388636843875246996e-08
9.300000220537185669e-02, 1.761300616465177882e-08, 1.999952346086502075e-01, -2.388594921853837150e-08
9.400000423192977905e-02, 1.761289603052773600e-08, 1.999952346086502075e-01, -2.388549980025800323e-08
9.500000625848770142e-02, 1.761278056733317499e-08, 1.999952346086502075e-01, -2.388502018391136517e-08
9.600000083446502686e-02, 1.761274326383954758e-08, 1.999952346086502075e-01, -2.388392950081197341e-08
9.700000286102294922e-02, 1.761267931499332917e-08, 1.999952346086502075e-01, -2.388327402513823472e-08
9.800000488758087158e-02, 1.761261891886078956e-08, 1.999952346086502075e-01, -2.388305375689014909e-08
9.900000691413879395e-02, 1.761254964094405295e-08, 1.999952346086502075e-01, -2.388280506693263305e-08
1.000000014901161194e-01, 1.761247325759995874e-08, 1.999952346086502075e-01, -2.388252617890884721e-08
1.010000035166740417e-01, 1.761239154518534633e-08, 1.999952346086502075e-01, -2.388221709281879157e-08
1.020000055432319641e-01, 1.761230450370021572e-08, 1.999952346086502075e-01, -2.388187958501930552e-08
1.030000075697898865e-01, 1.761221213314456691e-08, 1.999952346086502075e-01, -2.388151187915354967e-08
1.040000021457672119e-01, 1.761211443351839989e-08, 1.999952346086502075e-01, -2.388111397522152402e-08
1.050000041723251343e-01, 1.761200962846487528e-08, 1.999952346086502075e-01, -2.388068587322322855e-08
1.060000061988830566e-01, 1.761189771798399306e-08, 1.999952346086502075e-01, -2.388022757315866329e-08
1.070000082254409790e-01, 1.761178047843259264e-08, 1.999952346086502075e-01, -2.387973907502782822e-08
1.080000028014183044e-01, 1.761165790981067403e-08, 1.999952346086502075e-01, -2.387922037883072335e-08
1.090000048279762268e-01, 1.761161350088968902e-08, 1.999952346086502075e-01, -2.387809061588086479e-08
1.100000068545341492e-01, 1.761154244661611301e-08, 1.999952346086502075e-01, -2.387739783671349869e-08
1.110000088810920715e-01, 1.761147494505621580e-08, 1.999952346086502075e-01, -2.387714026497178565e-08
1.120000034570693970e-01, 1.761139856171212159e-08, 1.999952346086502075e-01, -2.387685249516380281e-08
1.130000054836273193e-01, 1.761131507294066978e-08, 1.999952346086502075e-01, -2.387653630364638957e-08
1.140000075101852417e-01, 1.761122625509869977e-08, 1.999952346086502075e-01, -2.387618991406270652e-08
1.150000020861625671e-01, 1.761113210818621155e-08, 1.999952346086502075e-01, -2.387581332641275367e-08
1.160000041127204895e-01, 1.761103263220320514e-08, 1.999952346086502075e-01, -2.387540654069653101e-08
1.170000061392784119e-01, 1.761092782714968052e-08, 1.999952346086502075e-01, -2.387496955691403855e-08
1.180000081658363342e-01, 1.761081591666879831e-08, 1.999952346086502075e-01, -2.387450415142211568e-08
1.190000027418136597e-01, 1.761069690076055849e-08, 1.999952346086502075e-01, -2.387400854786392301e-08
1.200000047683715820e-01, 1.761065604455325229e-08, 1.999952346086502075e-01, -2.387290010119613726e-08
1.210000067949295044e-01, 1.761058854299335508e-08, 1.999952346086502075e-01, -2.387222863831084396e-08
1.220000088214874268e-01, 1.761052459414713667e-08, 1.999952346086502075e-01, -2.387199415920804313e-08
1.230000033974647522e-01, 1.761045353987356066e-08, 1.999952346086502075e-01, -2.387172948203897249e-08
1.240000054240226746e-01, 1.761037538017262705e-08, 1.999952346086502075e-01, -2.387143460680363205e-08
1.250000000000000000e-01, 1.761029011504433583e-08, 1.999952346086502075e-01, -2.387110953350202180e-08
1.260000020265579224e-01, 1.761019952084552642e-08, 1.999952346086502075e-01, -2.387075426213414175e-08
1.270000040531158447e-01, 1.761010359757619881e-08, 1.999952346086502075e-01, -2.387037056905683130e-08
1.280000060796737671e-01, 1.761000234523635299e-08, 1.999952346086502075e-01, -2.386995667791325104e-08
1.290000081062316895e-01, 1.760989576382598898e-08, 1.999952346086502075e-01, -2.386951258870340098e-08
1.300000101327896118e-01, 1.760978207698826736e-08, 1.999952346086502075e-01, -2.386904007778412051e-08
1.310000121593475342e-01, 1.760966128472318815e-08, 1.999952346086502075e-01, -2.386853736879857024e-08
1.319999992847442627e-01, 1.760953516338759073e-08, 1.999952346086502075e-01, -2.386800446174675017e-08
1.330000013113021851e-01, 1.760948720175292692e-08, 1.999952346086502075e-01, -2.386686048794217641e-08
1.340000033378601074e-01, 1.760941259476567211e-08, 1.999952346086502075e-01, -2.386615172156325571e-08
1.350000053644180298e-01, 1.760934154049209610e-08, 1.999952346086502075e-01, -2.386587816260998807e-08
1.360000073909759521e-01, 1.760926160443432309e-08, 1.999952346086502075e-01, -2.386557440559045062e-08
1.370000094175338745e-01, 1.760917456294919248e-08, 1.999952346086502075e-01, -2.386524045050464338e-08
1.380000114440917969e-01, 1.760908219239354366e-08, 1.999952346086502075e-01, -2.386487807370940573e-08
1.390000134706497192e-01, 1.760898449276737665e-08, 1.999952346086502075e-01, -2.386448549884789827e-08
1.400000005960464478e-01, 1.760888146407069144e-08, 1.999952346086502075e-01, -2.386406272592012101e-08
1.410000026226043701e-01, 1.760877310630348802e-08, 1.999952346086502075e-01, -2.386361153128291335e-08
1.420000046491622925e-01, 1.760865764310892700e-08, 1.999952346086502075e-01, -2.386313013857943588e-08
1.430000066757202148e-01, 1.760853507448700839e-08, 1.999952346086502075e-01, -2.386261854780968861e-08
1.440000087022781372e-01, 1.760849066556602338e-08, 1.999952346086502075e-01, -2.386149589028718765e-08
1.450000107288360596e-01, 1.760841961129244737e-08, 1.999952346086502075e-01, -2.386080844019033975e-08
1.460000127553939819e-01, 1.760835210973255016e-08, 1.999952346086502075e-01, -2.386055619751914492e-08
1.469999998807907104e-01, 1.760827750274529535e-08, 1.999952346086502075e-01, -2.386027553313851968e-08
1.480000019073486328e-01, 1.760819756668752234e-08, 1.999952346086502075e-01, -2.385996467069162463e-08
